[0.02-4.22] 还有茶虫 我倒是不担心茶虫
[4.22-9.02] 我做的方向 扔到市网上 茶虫率高达百分之一
[9.02-13.02] 高达百分之一
[224.51-225.51] 还要瘦
[225.51-226.51] 诶
[226.51-227.51] 我好
[227.51-228.51] 和伤害
[228.51-229.51] 好像我对
[229.51-232.08] 可以
[232.08-239.35] 加油
[239.35-240.35] 你这个傻子
[240.35-242.35] 我的家呀
[242.35-244.35] 你拿为什么
[245.35-246.35] 啊
[246.35-248.35] 是怎么保备炸
[248.35-249.35] 我那个街
[250.35-251.35] 可以
[251.35-253.35] 还是这套比较舒服
[253.35-254.35] 还不知道干啥
[254.35-256.35] 是谁在滑鼠上飞行
[256.35-258.35] 这些都不知道干啥
[258.35-259.35] 抓呀
[259.35-260.35] 很很抓
[260.35-261.35] 我现在我现在就是
[261.35-263.35] 就可惜那个啥
[263.35-265.35] 那个叫什么
[265.35-266.35] 洛可王国
[266.35-267.35] 不能
[267.35-268.35] 不能让那个精靈去打工
[268.35-269.35] 要不然我非抓
[269.35-271.35] 那你牵着精靈回来
[271.35-272.35] 谁
[272.35-274.35] 能不如意
[274.35-275.35] 抓神肉
[275.35-276.35] 但是等不住
[276.35-278.35] 跟着啥等一些
[278.35-280.35] 那你现在再加一刮子
[280.35-281.35] 再加一刮子
[281.35-282.35] 刮子就行
[282.35-283.35] 刮胎吧
[283.35-284.35] 现在34
[284.35-285.35] 好打
[285.35-286.35] 我打洛可王国
[286.35-287.35] 进去以后
[287.35-288.35] 见到精靈就开始往他身上
[288.35-289.35] 机关枪一样
[289.35-290.35] 够够够
[290.35-291.35] 一直抓到他
[291.35-292.35] 说服为止
[292.35-293.35] 我也不能打
[293.35-294.35] 我综合往轮
[294.35-299.26] 然后然后然后
[299.26-300.26] 那个
[300.26-301.26] 抓到以后
[301.26-302.26] 不是很心仪的属性
[302.26-303.26] 就觉得
[303.26-304.26] 直接陷阱为固
[305.26-307.26] 还有一名异也发
[307.26-308.26] 什么什么异
[308.26-309.26] 一名异玩家
[309.26-311.26] 抓到的一直都是县彩
[311.26-313.26] 还有冲前这一块
[313.26-316.26] 我猜他们有一个就是
[316.26-318.26] 美
[318.26-319.26] 冲
[319.26-321.26] 抓索的这种东西
[321.26-323.74] 这种小伙伴
[323.74-324.74] 有一婚线
[324.74-325.74] 就这样
[325.74-326.74] 十六代年黑层
[326.74-330.02] 今天上午
[330.02-331.02] 我还看到B站有人发
[331.02-333.02] 和六年的好朋友
[333.02-334.02] 因为抓一只
[334.02-335.02] 选材的异色
[335.02-336.02] 选材的俄罗兰
[336.02-337.02] 还是决定
[338.02-339.02] 神了
[339.02-340.02] 打成
[340.02-341.02] 把路口给我打成
[341.02-342.02] 搜打成的
[342.02-343.02] 讲包一样
[344.02-346.02] 这个也是
[346.02-347.02] 可以连击的
[347.02-348.02] 是吗
[348.02-349.02] 进入别人的世界
[349.02-350.02] 然后摆别人的异色
[350.02-351.02] 神了
[351.02-353.55] 不打这个
[364.50-365.50] 时间都没写
[365.50-366.50] 好烦
[366.50-372.62] 太远了
[372.62-381.97] 太异了
[381.97-382.97] 不好的
[382.97-383.97] 刚出的异环
[383.97-385.97] 这块就给我推一个规环
[386.97-387.97] 可以
[387.97-388.97] 规环游戏
[388.97-389.97] 啥意思
[389.97-393.76] 也是二勇
[393.76-395.76] 春雨姐姐一约
[395.76-397.76] 一约一约
[397.76-398.76] 一约一约
[398.76-402.00] 什么情况
[402.00-404.00] 一周末测试
[404.00-406.00] 还在飞範
[406.00-407.00] 规环
[407.00-409.60] 50米2的自己游戏
[409.60-418.32] 很强
[418.32-420.32] 我看小伙伴
[420.32-421.32] 不断的
[421.32-422.32] 也没看有料事
[422.32-424.32] 他明显是不希望有的
[424.32-428.04] 自己那啥
[429.04-430.04] 确实
[430.04-431.04] 今年没开
[431.04-433.04] 没开课社的大立会吗
[433.04-434.04] 没开
[434.04-435.04] 去年也没开
[435.04-436.04] 去年也没开
[436.04-437.04] 去年也没开
[439.04-440.04] 还有这个
[440.04-441.04] 对
[441.04-442.04] 还有这是
[442.04-444.04] 好像说话不挺人
[444.04-447.04] 说要选你现在开大立会
[447.04-448.04] 讲家课社
[450.04-451.04] GEE的立会开了
[451.04-452.04] 开了
[452.04-454.04] 花亭配的机机
[454.04-457.38] 小车
[457.38-458.38] 花亭
[458.38-463.20] 花亭是哪个的
[463.20-464.20] 这我真不是
[466.20-467.20] 给那个
[467.20-469.20] 周末的新的小车配件
[469.20-483.23] 好像是新的
[483.23-484.23] 压力小
[484.23-486.23] 压力的情况
[486.23-488.23] 青龙没压力
[488.23-490.23] 不像我说有
[490.23-491.23] 上过一次黄金
[491.23-492.23] 然后你天天散散心心的
[492.23-494.23] 不想和黄金掉下来
[494.23-495.23] 最终重新定机
[495.23-497.23] 还是定回青龙
[497.23-498.23] 我从三一二掉下来
[498.23-499.23] 然后
[499.23-500.23] 没事吧
[501.23-502.23] 开板
[502.23-503.23] 还拉
[503.23-504.23] 拉不上去我这个
[504.23-507.41] 致力
[507.41-508.41] 新鞋
[508.41-509.41] 可以
[509.41-510.41] 方便
[510.41-524.02] 不过就顺手给你铺
[524.02-525.02] 合订位
[526.02-527.02] 我们是直接帮他们
[527.02-529.02] 把课室给做
[529.02-532.02] 我觉得帮助就帮助了
[534.85-536.85] 当时没有人帮我做
[537.85-538.85] 当时没有人帮我做
[538.85-539.85] 当时没有人帮我做
[539.85-540.85] 当时没有人帮我做
[542.85-543.85] 哎呀我受了
[543.85-544.85] 哎呦
[544.85-545.85] 哎呦
[545.85-546.85] 当时当时有一个将转来
[546.85-547.85] 和我们组的
[547.85-548.85] 他这儿都不会
[549.85-550.85] 全是我那些
[550.85-551.85] 将转
[552.85-554.85] 他将转过来
[555.85-556.85] 然后没有
[556.85-557.85] 没有什么
[557.85-558.85] 没有正顶电脑
[558.85-559.85] 只有一台麦库
[560.85-561.85] 然后他那配环境
[561.85-562.85] 比较像给的
[562.85-563.85] 还能入Windows
[564.85-565.85] 他也挺神的
[565.85-566.85] 他直接在他的麦库
[566.85-567.85] Air上配了一个
[567.85-568.85] Windows讯息
[568.85-569.85] 神啊
[569.85-570.85] 至于他马卡
[570.85-571.85] 神啊
[572.85-573.85] 哈哈呀
[573.85-576.58] 然后那个讯息
[576.58-577.58] 你既然是我帮他调试
[578.58-579.58] 据我卡
[579.58-580.58] 我真是受不了
[580.58-581.58] 这真的有点明天
[584.14-585.14] 鼠标言是一秒以上
[586.14-587.14] 动一下鼠标
[587.14-588.14] 等一秒后不要再动
[589.14-591.14] 因为我的图呆子一样
[591.14-597.10] 反正最后
[597.10-598.10] 最后也是美美的
[598.10-599.10] 均分
[600.10-601.10] 均分全力
[601.10-604.79] 然后这个讯息
[604.79-605.79] 也是美美考研到
[605.79-606.79] 上 上交
[607.79-608.79] 考研上交这么可能
[609.79-610.79] 本身他能保留
[610.79-611.79] 保留没放弃保留
[611.79-612.79] 自己考虑
[612.79-617.18] 继续能学
[617.18-618.18] 这样 这样转过来
[618.18-619.18] 全是课
[620.18-621.18] 切
[622.18-623.18] 很好
[623.18-624.18] 他他他
[625.18-626.18] 可能以前
[626.18-627.18] 他咱们差比较多
[627.18-628.18] 就是各种
[628.18-629.18] 他没上过课的生命部
[631.18-632.18] 他用一些冷的
[633.18-634.18] 诶 像他
[634.18-635.18] 哦 像他是平转
[635.18-636.18] 应该是平转
[636.18-637.18] 应该是平转
[637.18-638.18] 就是没错
[638.18-639.18] 大家课室
[639.18-640.18] 然后用一些平转的
[640.18-641.18] 诶 我早从
[641.18-642.18] 周一到周日
[642.18-643.18] 每天都可以
[644.46-645.46] 然后几点
[645.46-656.03] 都
[656.03-657.03] 比较没有
[657.03-658.03] 没有这样子
[658.03-659.03] 就我们这一季
[659.03-660.03] 有
[660.03-661.03] 有
[661.03-662.03] 然后下一天
[662.03-663.03] 就没有
[663.03-666.72] 我们这一天
[666.72-667.72] 就没有干嘛保留
[668.72-669.72] 对啊
[669.72-670.72] 我找完之后
[670.72-671.72] 然后
[671.72-672.72] 三年就要扶定
[672.72-673.72] 完
