[0.00-2.00] 我看喝喝什么粥吧
[101.73-102.93] 傻业
[102.93-103.53] 不知道
[103.53-104.53] 这是傻业
[105.93-106.53] 不用
[106.53-107.93] 刚刚买点
[107.93-109.73] 买点鸡酒房屋是小的
[110.73-111.73] 我觉得你可以
[111.73-112.53] 但是
[113.13-114.73] 那个可以动起来吗
[115.73-116.33] 我们在
[116.33-116.93] 动不上
[116.93-117.73] 把酒不能动
[119.53-121.13] 能动上的那墙爽多少
[122.53-124.33] 它是冰水很红布的状态是没有
[126.04-127.04] 好累啊
[127.04-128.44] 这还蛮厉害的
[128.44-129.84] 春酒已经肯定是都
[129.84-130.44] 动不上了
[130.44-132.84] 我经常多年的操久气了
[133.44-134.04] 第二天
[134.84-142.88] 要不然每天出办公
[142.88-144.88] 最后就是选择演出
[144.88-145.68] 聊聊聊
[147.28-147.88] 那
[148.28-149.68] 那不上课了说实
[151.48-152.08] 带过去
[153.88-154.88] 装在杯子里面
[154.88-156.28] 凌人知道那是酒
[159.09-159.69] 我最喜欢
[159.69-160.49] 恭喜
[160.49-161.89] 我高龙的时候
[164.76-165.56] 我高龙的同学
[165.56-167.16] 他往他那个水杯里面
[167.76-168.56] 放白酒
[169.36-169.96] 有啊
[170.96-171.56] 一天
[173.36-173.96] 小阿姨
[174.56-176.16] 我们高龙还有人带啤酒
[176.16-177.56] 但是那个味道太重了
[177.56-178.76] 经常被叫到主任
[178.96-180.16] 还是搞东西
[180.56-181.16] 这东西
[181.16-181.96] 那啤酒
[181.96-183.36] 我们白酒可以动手啊
[183.36-184.36] 不是别人白
[184.36-185.56] 我们是别人白的
[186.36-186.76] 什么
[187.56-189.16] 我们那边有白酒杯
[189.76-191.16] 那酒也不重吗
[191.16-191.76] 重啊
[191.76-192.36] 对啊
[192.76-194.76] 那老师一闻就知道了
[194.96-195.36] 哎呀
[195.36-196.76] 这就被抓了
[196.96-197.56] 对对对
[199.96-201.16] 这我喜欢喝
[201.16-201.76] 这么喜欢喝吗
[201.76-202.96] 一开始别想干的了
[204.96-205.56] 陕哥
[210.78-212.18] 所以我们当时比较超越好
[212.18-212.78] 还有香秀
[212.78-213.18] 来
[213.78-214.18] 好
[214.38-214.98] 牛鱼
[215.18-215.78] 牛鱼
[216.58-217.38] 你不知道为什么
[217.58-218.18] 怎么很
[218.18-219.18] 我们学校的超市
[219.18-221.78] 在我们进来一年之后就关门了
[222.58-223.58] 之后就没开过了
[224.38-224.94] 失败了
[225.18-225.98] 我们也是
[227.18-227.98] 懒得超市入门
[227.98-228.78] 只卖酒
[228.98-229.58] 是吗
[229.58-230.58] 懒得超市入门
[230.58-231.18] 有酒
[231.38-232.18] 有
[232.18-233.18] 有啤酒
[234.18-235.38] 我们一开始上通卖
[235.38-236.18] 但是
[236.78-237.98] 后来好像有文件
[237.98-238.98] 就只卖水
[238.98-240.38] 到最后水都卖不了
[247.99-249.59] 货价上后也忘去
[249.59-250.99] 一货价都控旋水
[250.99-252.39] 在谁帮到就
[253.19-254.39] 让我好像也听到了
[255.59-256.79] 听到我学校里有交友
[260.46-261.06] 哇
[262.06-262.26] 哎呦
[262.26-263.46] 这是相当沈发的文件
[263.46-264.26] 反正是
[265.06-267.26] 中学中学内不允许的失礼形态
[272.31-273.31] 所以去武大吗
[273.71-274.91] 几二十可以免费钱
[274.91-275.51] 去武大
[275.71-276.31] 都会有
[276.31-277.71] 那怎么给老板去去武大
[277.71-278.51] 这家开花吗
[278.51-278.91] 什么啊
[278.91-279.91] 没有没有
[279.91-280.71] 三月份的话
[280.71-281.51] 还有什么可
[281.91-282.91] 那有什么可参观的
[282.91-283.91] 可以参
[283.91-284.71] 参观
[285.31-287.11] 雷军同款拍照图
[287.51-288.71] 可以参观图书馆
[290.71-291.31] 还真是
[291.31-291.91] 还真是
[291.91-292.51] 还真是
[293.51-294.71] 这图书馆要拧啥吗
[295.31-295.91] 要挠啥
[295.91-296.51] 应该要
[296.51-296.91] 要
[296.91-297.31] 要
[297.51-298.11] 要的
[298.91-299.71] 何一伟
[299.71-300.31] 何一伟
[300.71-301.91] 你在影摄什么
[301.91-302.31] 没有
[302.31-303.71] 人那个有点眼
[303.71-304.71] 没有影摄
[304.71-305.71] 你在影摄什么
[306.51-307.91] 已经调明了
[308.71-311.80] 你叫你帮忙
[314.40-315.40] 一个套子
[315.40-316.00] 套子
[316.00-317.80] 女花鸟叫你帮忙
[317.80-318.40] 牛逼
[319.00-319.60] 牛逼
[320.00-321.60] 拍完照等就记得有资格
[328.93-329.93] 相保养了
[331.13-332.53] 想起武大保养了
[332.93-333.73] 原来是
[334.73-336.73] 我把这支还可以啊
[336.73-337.73] 我把这支
[337.73-343.14] 反正比山大
[343.74-344.54] 差不多吧
[344.54-345.54] 比山好一点
[347.14-348.94] 这台机也不是强强的
[356.34-358.54] 从几何时武汉大学的医学
[358.54-359.14] 还在我
[359.54-362.94] 志愿里冲的那一堆
[363.54-364.94] 我现在都吃完不到
[365.34-366.94] 武大口香特别高
[367.94-370.74] 96个平成志愿
[370.74-371.74] 这不随便报报
[371.74-373.74] 第一个都敢报北大清华
[373.74-374.74] 都敢报十多个
[375.54-377.34] 清华北大在我的志愿里
[377.34-378.14] 最后几个
[379.34-379.74] 刀底
[379.74-380.34] 刀底
[386.74-387.34] 96个
[387.34-389.34] 但是田了50个就田了50个
[389.34-390.14] 你还田了50个
[390.14-392.14] 我只田了20个
[393.54-394.94] 第19个是北大
[394.94-395.94] 第20个是清华
[395.94-397.14] 你们的仗格还挺好
[398.14-399.54] 昨年我们还是分了你
[400.74-401.74] 最后一年分了你
[403.14-404.34] 我们改个长了点
[444.88-445.28] 谢谢
[452.96-455.36] 确实夏天吃肥有点热
[457.36-458.76] 下次该在转转
[458.76-459.96] 看还有没有另外一家
[460.76-461.56] 下个周五
[463.16-463.96] 成功吗
[465.36-466.56] 许多爱激烂性的成功
[486.79-488.19] 晚安时间一天都不着晚了
[488.79-489.79] 也比着孤寒
[491.19-493.39] 刚才我们本来那是偏偏马层性
[497.50-498.30] 发音不错
[498.90-500.30] 智能转
[501.10-501.70] 是吧
[501.70-503.30] 但是我整个一智能转
[503.30-504.30] 智能转是吧
[505.30-505.90] 晚安
[507.50-508.50] 晚安要百分之十
[509.10-509.70] 真好
[518.26-519.66] 本来能通计歌的
[520.26-520.66] 是吧
[520.66-521.86] 计算一课就行
[521.86-522.46] 哇
[522.46-522.86] 4S
[522.86-524.86] 那个语言在清道这些
[524.86-525.46] 对的
[526.46-527.46] 那一百之三十
[527.46-528.46] 咱们百之四十
[528.46-529.06] 好
[529.06-529.86] 只有转到这里
[529.86-531.66] 然后第二年就改成百之三十
[532.06-532.86] 看得好吗
[532.86-533.46] 不错
[533.46-533.86] 不错
[534.86-535.46] 简陋
[539.27-540.07] 吃完了吗
[540.07-540.87] 吃完了了
[541.67-542.27] 好吧
[544.48-544.88] 谢谢
