[0.98-16.29] 我们稍微等一会
[264.72-268.01] 然后呢
[268.01-269.21] 我也在这儿
[269.21-271.65] 给它设置为repeat
[271.65-272.17] 什么意思呢
[272.17-274.97] 就是让它动画重复过放
[274.97-277.97] 当它动画执行到莫韦的时候
[277.97-278.93] revolve
[278.93-283.73] 就是把这个值从1再变回成0
[283.73-287.09] 然后给它添加一个坚定器
[287.09-289.45] 每当它这个值变换的时候
[289.45-292.65] 它都会给你标用你添加的坚定器
[292.65-296.05] 然后我们在坚定器里边30d的
[296.05-297.09] 因为我们30d的
[297.09-301.21] 并且我们这个页面里边依赖的值
[301.21-301.85] 它就有value
[301.85-303.33] 这是变换的
[303.33-305.57] 所以它这个就会被重绘
[305.57-306.25] 重绘之后
[306.25-310.25] 那么就可以看到一个流畅动画效果
[310.25-312.25] 大部分情况下
[312.25-315.05] 应该是可以做到60帧的
[315.05-318.49] 就是
[326.86-329.02] 只要你这个计算没有特别复杂
[329.02-331.90] 或者这个页面没有特别特别难
[331.90-334.98] 那么你在打成安卓包之后呢
[334.98-341.94] 它是可以做到60帧的
[341.94-351.22] 然后稍微完善一下
[351.22-351.62] 别抗
[351.62-352.62] 你就把我
[352.62-356.65] 你就把我闻到
[356.65-358.05] 武尚字
[359.05-361.05] 你负责打字
[368.29-375.18] 皇家打打字弯
[379.02-380.62] 该写一个AI插件的
[380.62-382.02] 你说什么他写什么
[382.02-393.38] 默认情况下
[393.38-401.54] 就是我们是
[401.54-402.94] 它是一个抽象类
[402.94-407.82] 我们需要创建一个它具体的实力
[407.82-409.02] 一般情况下
[409.02-410.72] 我们只能用
[410.72-413.22] animation control的
[413.22-414.42] 我们也不是只能用
[414.42-417.02] 就是说你用这个类
[417.02-419.02] 创建出来的animation蹲向
[419.02-422.22] 你就可以控制它的启动
[422.22-424.22] 停止和以及其他东西的
[424.22-425.82] 比如说
[425.82-428.62] 当你调用它这个函数的时候
[428.62-430.82] 那么它这个值就会开始变化
[430.82-431.82] 当你调用stop
[431.82-434.12] 那么这个值就停止变化
[434.12-435.42] 然后还有这些方法
[435.42-438.29] 这个的
[438.29-438.89] 默认情况下
[438.89-439.49] 你创建的时候
[439.49-442.69] 它就不会直接给你启动了
[442.69-443.89] 然后
[443.89-446.89] 当你需要改变它这个值是
[446.89-448.79] 在上级和下级的时候呢
[448.79-451.29] 就给它传它的
[451.29-452.39] 下级上级
[452.39-453.09] 比较长一些
[453.09-454.89] 那么它就会按照你的要求
[454.89-457.59] 让这个值是限定变化
[457.59-461.59] 记住我们目前都是一个限定变化
[461.59-464.49] 之后我们可以给它添加一些曲线
[464.49-494.09] 控制器
[494.09-496.19] 然后我们就
[496.19-498.29] 就要来整一些划活
[498.29-499.59] 只是这样的
[499.59-512.70] 那肯定是不能满足我们的要求
[512.70-514.50] 我们目前是把它
[514.50-516.80] 每一次它值变化的时候
[516.80-518.70] 我们第二用Volafel的函数
[518.70-521.90] Sales值让它重新汇制
[521.90-523.10] 这个呢
[523.10-524.30] 写法
[524.30-526.00] 不是那么的优雅
[526.00-527.50] 不是那么的优美
[527.50-528.30] 因为
[528.30-529.70] 当你这个
[529.70-531.20] 英雄还有其他地方
[531.20-534.30] 他也要控制他这个状态的时候
[534.30-536.00] 还有可能让这个
[536.00-538.80] 计算的比较的复杂
[538.80-541.10] 我们更好的办法
[541.10-543.90] 是使用
[543.90-546.60] animation widget的一个组件
[546.60-553.07] 来进行
[553.07-566.27] 在
[566.27-583.38] 这个组件
[583.38-590.51] 当我们使用这个组件的时候
[590.51-593.61] 我们需要把我们之前创建的animation对象
[593.61-594.71] 给它传递进行
[594.71-597.91] 这个它接受的函数就是一个animation
[597.91-599.51] 然后不管你是
[599.51-601.41] 它的实际类型是啥都可以
[601.41-602.91] 其实
[602.91-605.11] 我们在
[605.11-608.61] 然后让这个游戏去打开8080
[608.61-610.51] 去显示那个
[610.51-612.31] 本机型的这个网页
[612.31-613.11] 我们在这个地方
[613.11-615.41] 其实可以给它传递我们的
[615.41-616.71] 实际的犯行参数是什么
[616.71-617.81] 就是你这个
[617.81-620.01] 里边animation它控制的
[620.01-621.01] 变化的值是什么
[621.01-624.21] 我们之前是用了一个硬册
[624.21-626.71] 我们实际也可以控制它颜色的变化
[626.71-627.81] 实际说
[627.81-628.71] 硬册说
[628.71-631.01] 那么这个类型也自动变化
[631.01-633.01] 我们正常用样不传就可以了
[633.01-636.57] 它会自动给我推动
[636.57-638.97] 然后你给它传进去之后
[638.97-641.57] 当你在某个地方控制你的动画
[641.57-642.87] 开始进行了
[642.87-644.07] 那么这个组件
[644.07-646.57] 就会帮你完成
[646.57-647.97] 这个页面的重绘
[647.97-649.87] 这个部分的重绘
[649.87-652.77] 那么就比我们现在这个实际方式
[652.77-654.57] 更应该一点
[654.57-656.17] 不需要我们手动
[656.17-661.64] 来sensitize
